Nama daerah,jumlah populasi 2020
Java - Indonesia,48.274.162
Northern Sumatra - Indonesia,14703532
Southern Sumatra - Indonesia,8467432
Celebes Sea,9073509
South of Java - Indonesia,40670000
Southwest of Sumatra - Indonesia,5530000
Minahassa Peninsula - Sulawesi,347290
Talaud Islands - Indonesia,105765
Northern Molucca Sea,1278764
Halmahera - Indonesia,42654
Bali Sea,4320000
Buru - Indonesia,135.238
Sumbawa Region - Indonesia,509.753
Ceram Sea,137.972
Sulawesi - Indonesia,18.663.199
Southern Molucca Sea,1278764
South China Sea,81952
Borneo,21258000
Near North Coast of Irian Jaya,4300000
Flores Sea,257785
Java Sea,131.790.000
Sunda Strait - Indonesia,6.900.000
Mindanao - Philippines,21968174
Philippine Islands Region,109.035.343
Irian Jaya Region - Indonesia,3.379.000
East of Philippine Islands,108.771.978
Aru Islands Region - Indonesia,49.020
Off West Coast of Northern Sumatra,14.703.532
Tanimbar Islands Reg. - Indonesia,123.572
Timor Sea,1318000
Flores Region - Indonesia',257.785
Irian Jaya - Indonesia,4300000
North of Halmahera - Indonesia,197.403
South of Sumbawa - Indonesia,1561461
Timor Region,3311735
South of Bali - Indonesia,4320000
Bali Region - Indonesia,4320000
Near N. Coast of New Guinea - PNG.,8.947.000
W. Caroline Islands - Micronesia,36000
Savu Sea,5541394
South Indian Ocean,143155
Arafura Sea,4300000
New Guinea - Papua New Guinea,8947000
Near South Coast of Irian Jaya,1100000
Sumba Region - Indonesia,685.186
Seram - Indonesia,137972